task_id,group,TTU_letter,DOU_letter
1,Static sketch construction,a,a
1,Formula construction,a,a
1,Dynamic sketch construction,a,a
2,Static sketch construction,a,a
2,Formula construction,a,a
2,Dynamic sketch construction,a,a
3,Static sketch construction,a,a
3,Formula construction,a,a
3,Dynamic sketch construction,a,a
4,Static sketch construction,a,a
4,Formula construction,a,a
4,Dynamic sketch construction,a,a
5,Static sketch construction,a,a
5,Formula construction,a,a
5,Dynamic sketch construction,a,a
6,Static sketch construction,a,a
6,Formula construction,a,a
6,Dynamic sketch construction,a,a
7,Static sketch construction,a,a
7,Formula construction,a,a
7,Dynamic sketch construction,a,a
8,Static sketch construction,a,a
8,Formula construction,a,a
8,Dynamic sketch construction,a,a
9,Static sketch construction,a,a
9,Formula construction,a,a
9,Dynamic sketch construction,a,a
10,Static sketch construction,a,a
10,Formula construction,a,a
10,Dynamic sketch construction,a,a
11,Static sketch construction,a,a
11,Formula construction,a,a
11,Dynamic sketch construction,a,a
12,Static sketch construction,a,a
12,Formula construction,a,a
12,Dynamic sketch construction,a,a
13,Static sketch construction,a,a
13,Formula construction,a,a
13,Dynamic sketch construction,a,a
14,Static sketch construction,a,a
14,Formula construction,a,a
14,Dynamic sketch construction,a,a
15,Static sketch construction,a,a
15,Formula construction,a,b
15,Dynamic sketch construction,a,a
16,Static sketch construction,a,a
16,Formula construction,a,a
16,Dynamic sketch construction,a,a
17,Static sketch construction,a,a
17,Formula construction,a,a
17,Dynamic sketch construction,a,a
