participant;task_id;group;TTU;DOU;structural_aspects;video_length_in_s;timestamp_where_participant_realizes;TTU_second_coder;DOU_second_coder;timestamp_where_participant_realizes_second_coder
p01;1;Formula construction;17;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;130.0;66.0;1.0;179.0
p31;1;Formula construction;23;0.6;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;45.0;96.0;1.0;117.0
p34;1;Formula construction;14;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;14.0;18.0;1.0;18.0
p33;1;Formula construction;28;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;49.0;33.0;1.0;54.0
p26;1;Formula construction;92;0.6;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;128.0;89.0;1.0;125.0
p21;1;Formula construction;33;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;64.0;36.0;1.0;67.0
p27;1;Formula construction;21;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;28.0;32.0;1.0;32.0
p11;1;Static sketch construction;10;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;36.0;10.0;1.0;37.0
p30;1;Static sketch construction;24;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;48.0;23.0;1.0;44.0
p28;1;Static sketch construction;28;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;53.0;10.0;1.0;35.0
p09;1;Static sketch construction;14;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;24.0;6.0;1.0;15.0
p14;1;Static sketch construction;13;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;35.0;8.0;1.0;30.0
p15;1;Static sketch construction;60;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;60.0;42.0;1.0;42.0
p02;1;Static sketch construction;31;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;95.0;21.0;1.0;85.0
p03;1;Dynamic sketch construction;28;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;221.0;29.0;1.0;221.0
p05;1;Dynamic sketch construction;32;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;38.0;31.0;1.0;37.0
p04;1;Dynamic sketch construction;26;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;58.0;32.0;1.0;59.0
p20;1;Dynamic sketch construction;24;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;56.0;19.0;1.0;49.0
p07;1;Dynamic sketch construction;24;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;41.0;26.0;1.0;43.0
p38;1;Dynamic sketch construction;26;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;52.0;25.0;1.0;52.0
p06;1;Dynamic sketch construction;64;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'ON'];12;98.0;69.0;1.0;98.0
p01;2;Formula construction;26;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;210.0;36.0;1.0;219.0
p31;2;Formula construction;16;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;145.0;25.0;1.0;154.0
p34;2;Formula construction;15;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;38.0;15.0;1.0;37.0
p33;2;Formula construction;18;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;86.0;18.0;1.0;86.0
p26;2;Formula construction;14;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;150.0;20.0;1.0;156.0
p21;2;Formula construction;27;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;97.0;45.0;1.0;115.0
p27;2;Formula construction;15;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;51.0;25.0;1.0;61.0
p11;2;Static sketch construction;8;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;50.0;11.0;1.0;53.0
p30;2;Static sketch construction;14;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;66.0;16.0;1.0;67.0
p28;2;Static sketch construction;16;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;80.0;6.0;1.0;69.0
p09;2;Static sketch construction;25;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;62.0;17.0;1.0;53.0
p14;2;Static sketch construction;9;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;56.0;5.0;1.0;52.0
p15;2;Static sketch construction;8;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;74.0;4.0;1.0;70.0
p02;2;Static sketch construction;18;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;136.0;19.0;1.0;136.0
p03;2;Dynamic sketch construction;19;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;254.0;20.0;1.0;255.0
p05;2;Dynamic sketch construction;33;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;76.0;28.0;1.0;71.0
p04;2;Dynamic sketch construction;22;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;89.0;21.0;1.0;89.0
p20;2;Dynamic sketch construction;14;0.75;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;91.0;15.0;1.0;93.0
p07;2;Dynamic sketch construction;21;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;81.0;21.0;1.0;81.0
p38;2;Dynamic sketch construction;18;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;74.0;29.0;1.0;85.0
p06;2;Dynamic sketch construction;31;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;133.0;32.0;1.0;134.0
p01;3;Formula construction;64;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;286.0;60.0;1.0;283.0
p31;3;Formula construction;21;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;183.0;21.0;1.0;183.0
p34;3;Formula construction;12;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;55.0;20.0;1.0;60.0
p33;3;Formula construction;10;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;99.0;11.0;1.0;100.0
p26;3;Formula construction;7;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;175.0;7.0;1.0;175.0
p21;3;Formula construction;84;0.8;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;204.0;71.0;1.0;190.0
p27;3;Formula construction;27;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;96.0;26.0;1.0;96.0
p11;3;Static sketch construction;10;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;65.0;9.0;0.8;65.0
p30;3;Static sketch construction;13;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;88.0;12.0;1.0;87.0
p28;3;Static sketch construction;18;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;112.0;10.0;1.0;104.0
p09;3;Static sketch construction;23;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;100.0;13.0;0.8;90.0
p14;3;Static sketch construction;13;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;79.0;6.0;1.0;72.0
p15;3;Static sketch construction;21;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;99.0;12.0;1.0;90.0
p02;3;Static sketch construction;10;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;152.0;9.0;1.0;150.0
p03;3;Dynamic sketch construction;17;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;284.0;23.0;1.0;290.0
p05;3;Dynamic sketch construction;23;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;104.0;21.0;1.0;101.0
