stratum,outcome,group,n,median,q1,q3,mean,sd,CLD
Overall participant median,TTU,Dynamic sketch construction,7,40.0,38.5,45.0,40.857142857142854,6.8660656232559525,a
Overall participant median,TTU,Formula construction,7,39.0,31.5,49.0,41.142857142857146,17.199114041412823,a
Overall participant median,TTU,Static sketch construction,7,33.0,24.0,38.0,31.571428571428573,9.692903638868023,a
Overall participant median,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Overall participant median,DOU,Formula construction,7,1.0,1.0,1.0,0.9821428571428571,0.04724555912615341,a
Overall participant median,DOU,Static sketch construction,7,1.0,1.0,1.0,0.9714285714285714,0.07559289460184543,a
Task 1,TTU,Dynamic sketch construction,7,26.0,25.0,30.0,32.0,14.375905768565215,a
Task 1,TTU,Formula construction,7,23.0,19.0,30.5,32.57142857142857,26.97441468538377,a
Task 1,TTU,Static sketch construction,7,24.0,13.5,29.5,25.714285714285715,17.11446060805779,a
Task 1,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 1,DOU,Formula construction,7,1.0,0.8,1.0,0.8857142857142858,0.19518001458970663,ab
Task 1,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,b
Task 2,TTU,Dynamic sketch construction,7,21.0,18.5,26.5,22.571428571428573,6.948792289723033,a
Task 2,TTU,Formula construction,7,16.0,15.0,22.0,18.714285714285715,5.468524655221178,a
Task 2,TTU,Static sketch construction,7,14.0,8.5,17.0,14.0,6.298147875897061,a
Task 2,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,0.9642857142857143,0.09449111825230681,ab
Task 2,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 2,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,b
Task 3,TTU,Dynamic sketch construction,7,23.0,21.5,29.5,27.142857142857142,10.350983390135314,a
Task 3,TTU,Formula construction,7,21.0,11.0,45.5,32.142857142857146,29.95234309937801,a
Task 3,TTU,Static sketch construction,7,13.0,11.5,19.5,15.428571428571429,5.255382728122436,a
Task 3,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 3,DOU,Formula construction,7,1.0,1.0,1.0,0.9714285714285714,0.07559289460184544,ab
Task 3,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,b
Task 4,TTU,Dynamic sketch construction,7,29.0,24.5,35.0,29.142857142857142,7.690439333539869,a
Task 4,TTU,Formula construction,7,35.0,20.0,38.5,30.714285714285715,14.23275899365364,a
Task 4,TTU,Static sketch construction,7,18.0,14.5,21.0,19.714285714285715,9.961831921795069,a
Task 4,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 4,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,b
Task 4,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,c
Task 5,TTU,Dynamic sketch construction,7,26.0,24.0,32.5,33.57142857142857,18.319908504658194,a
Task 5,TTU,Formula construction,7,30.0,16.0,49.0,33.857142857142854,23.082667172784078,a
Task 5,TTU,Static sketch construction,7,15.0,11.5,22.5,19.714285714285715,13.11124562750473,a
Task 5,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,0.9642857142857143,0.09449111825230681,a
Task 5,DOU,Formula construction,7,1.0,1.0,1.0,0.8928571428571429,0.2834733547569204,a
Task 5,DOU,Static sketch construction,7,1.0,0.625,1.0,0.7857142857142857,0.36596252735569995,a
Task 6,TTU,Dynamic sketch construction,7,27.0,24.5,38.5,33.57142857142857,16.74173570110681,a
Task 6,TTU,Formula construction,7,36.0,28.5,50.5,46.42857142857143,36.188659102252565,a
Task 6,TTU,Static sketch construction,7,21.0,13.5,38.0,27.714285714285715,19.930832778338573,a
Task 6,DOU,Dynamic sketch construction,7,0.8,0.8,0.8,0.8285714285714286,0.07559289460184544,a
Task 6,DOU,Formula construction,7,1.0,0.9,1.0,0.9428571428571428,0.0975900072948533,a
Task 6,DOU,Static sketch construction,7,0.8,0.8,0.9,0.8571428571428571,0.09759000729485329,a
