task_id;row_count;participant_count;task_count;group_count;TTU_total;TTU_average;DOU_total;DOU_average;TTU_count;TTU_participant_totals;DOU_count;DOU_participant_totals
1;21;21;1;3;632;30.095238095238095;20.2;0.9619047619047618;21;"[[""D"", ""p03"", 28.0], [""D"", ""p04"", 26.0], [""D"", ""p05"", 32.0], [""D"", ""p06"", 64.0], [""D"", ""p07"", 24.0], [""D"", ""p20"", 24.0], [""D"", ""p38"", 26.0], [""F"", ""p01"", 17.0], [""F"", ""p21"", 33.0], [""F"", ""p26"", 92.0], [""F"", ""p27"", 21.0], [""F"", ""p31"", 23.0], [""F"", ""p33"", 28.0], [""F"", ""p34"", 14.0], [""S"", ""p02"", 31.0], [""S"", ""p09"", 14.0], [""S"", ""p11"", 10.0], [""S"", ""p14"", 13.0], [""S"", ""p15"", 60.0], [""S"", ""p28"", 28.0], [""S"", ""p30"", 24.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0], [""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 0.6], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.6], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0], [""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
10;21;21;1;3;1130;53.80952380952381;18.25;0.8690476190476191;21;"[[""D"", ""p03"", 40.0], [""D"", ""p04"", 40.0], [""D"", ""p05"", 40.0], [""D"", ""p06"", 33.0], [""D"", ""p07"", 61.0], [""D"", ""p20"", 22.0], [""D"", ""p38"", 43.0], [""F"", ""p01"", 76.0], [""F"", ""p21"", 64.0], [""F"", ""p26"", 25.0], [""F"", ""p27"", 32.0], [""F"", ""p31"", 165.0], [""F"", ""p33"", 17.0], [""F"", ""p34"", 39.0], [""S"", ""p02"", 88.0], [""S"", ""p09"", 26.0], [""S"", ""p11"", 29.0], [""S"", ""p14"", 122.0], [""S"", ""p15"", 125.0], [""S"", ""p28"", 30.0], [""S"", ""p30"", 13.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 0.875], [""D"", ""p05"", 0.875], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 0.875], [""D"", ""p38"", 1.0], [""F"", ""p01"", 0.5], [""F"", ""p21"", 0.875], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.625], [""F"", ""p33"", 0.875], [""F"", ""p34"", 1.0], [""S"", ""p02"", 0.375], [""S"", ""p09"", 0.875], [""S"", ""p11"", 1.0], [""S"", ""p14"", 0.75], [""S"", ""p15"", 0.875], [""S"", ""p28"", 0.875], [""S"", ""p30"", 1.0]]"
11;21;21;1;3;707;33.666666666666664;21.0;1.0;21;"[[""D"", ""p03"", 27.0], [""D"", ""p04"", 32.0], [""D"", ""p05"", 45.0], [""D"", ""p06"", 37.0], [""D"", ""p07"", 36.0], [""D"", ""p20"", 21.0], [""D"", ""p38"", 34.0], [""F"", ""p01"", 26.0], [""F"", ""p21"", 25.0], [""F"", ""p26"", 16.0], [""F"", ""p27"", 110.0], [""F"", ""p31"", 32.0], [""F"", ""p33"", 9.0], [""F"", ""p34"", 28.0], [""S"", ""p02"", 38.0], [""S"", ""p09"", 29.0], [""S"", ""p11"", 26.0], [""S"", ""p14"", 53.0], [""S"", ""p15"", 45.0], [""S"", ""p28"", 26.0], [""S"", ""p30"", 12.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0], [""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0], [""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
12;21;21;1;3;1005;47.857142857142854;21.0;1.0;21;"[[""D"", ""p03"", 27.0], [""D"", ""p04"", 45.0], [""D"", ""p05"", 60.0], [""D"", ""p06"", 68.0], [""D"", ""p07"", 55.0], [""D"", ""p20"", 28.0], [""D"", ""p38"", 51.0], [""F"", ""p01"", 46.0], [""F"", ""p21"", 52.0], [""F"", ""p26"", 74.0], [""F"", ""p27"", 50.0], [""F"", ""p31"", 91.0], [""F"", ""p33"", 18.0], [""F"", ""p34"", 94.0], [""S"", ""p02"", 40.0], [""S"", ""p09"", 33.0], [""S"", ""p11"", 33.0], [""S"", ""p14"", 25.0], [""S"", ""p15"", 19.0], [""S"", ""p28"", 52.0], [""S"", ""p30"", 44.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0], [""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0], [""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
13;21;21;1;3;953;45.38095238095238;20.666666666666668;0.9841269841269842;21;"[[""D"", ""p03"", 37.0], [""D"", ""p04"", 44.0], [""D"", ""p05"", 37.0], [""D"", ""p06"", 47.0], [""D"", ""p07"", 54.0], [""D"", ""p20"", 39.0], [""D"", ""p38"", 47.0], [""F"", ""p01"", 51.0], [""F"", ""p21"", 38.0], [""F"", ""p26"", 20.0], [""F"", ""p27"", 71.0], [""F"", ""p31"", 34.0], [""F"", ""p33"", 10.0], [""F"", ""p34"", 35.0], [""S"", ""p02"", 52.0], [""S"", ""p09"", 132.0], [""S"", ""p11"", 46.0], [""S"", ""p14"", 36.0], [""S"", ""p15"", 76.0], [""S"", ""p28"", 22.0], [""S"", ""p30"", 25.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0], [""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 0.8333333333333334], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0], [""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 0.8333333333333334], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
14;21;21;1;3;1558;74.19047619047619;18.8;0.8952380952380953;21;"[[""D"", ""p03"", 38.0], [""D"", ""p04"", 56.0], [""D"", ""p05"", 53.0], [""D"", ""p06"", 47.0], [""D"", ""p07"", 50.0], [""D"", ""p20"", 26.0], [""D"", ""p38"", 47.0], [""F"", ""p01"", 47.0], [""F"", ""p21"", 111.0], [""F"", ""p26"", 96.0], [""F"", ""p27"", 120.0], [""F"", ""p31"", 290.0], [""F"", ""p33"", 52.0], [""F"", ""p34"", 54.0], [""S"", ""p02"", 58.0], [""S"", ""p09"", 65.0], [""S"", ""p11"", 18.0], [""S"", ""p14"", 68.0], [""S"", ""p15"", 208.0], [""S"", ""p28"", 16.0], [""S"", ""p30"", 38.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0], [""F"", ""p01"", 0.0], [""F"", ""p21"", 0.6], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.4], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0], [""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 0.8], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
15;21;21;1;3;2033;96.80952380952381;17.0;0.8095238095238095;21;"[[""D"", ""p03"", 91.0], [""D"", ""p04"", 75.0], [""D"", ""p05"", 98.0], [""D"", ""p06"", 99.0], [""D"", ""p07"", 101.0], [""D"", ""p20"", 126.0], [""D"", ""p38"", 94.0], [""F"", ""p01"", 50.0], [""F"", ""p21"", 91.0], [""F"", ""p26"", 90.0], [""F"", ""p27"", 96.0], [""F"", ""p31"", 92.0], [""F"", ""p33"", 71.0], [""F"", ""p34"", 176.0], [""S"", ""p02"", 226.0], [""S"", ""p09"", 76.0], [""S"", ""p11"", 87.0], [""S"", ""p14"", 74.0], [""S"", ""p15"", 129.0], [""S"", ""p28"", 50.0], [""S"", ""p30"", 41.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0], [""F"", ""p01"", 0.0], [""F"", ""p21"", 0.5454545454545454], [""F"", ""p26"", 0.9090909090909092], [""F"", ""p27"", 0.5454545454545454], [""F"", ""p31"", 0.0909090909090909], [""F"", ""p33"", 0.9090909090909092], [""F"", ""p34"", 0.6363636363636364], [""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 0.5454545454545454], [""S"", ""p15"", 0.8181818181818182], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
16;21;21;1;3;1185;56.42857142857143;17.375;0.8273809523809523;21;"[[""D"", ""p03"", 42.0], [""D"", ""p04"", 65.0], [""D"", ""p05"", 50.0], [""D"", ""p06"", 134.0], [""D"", ""p07"", 123.0], [""D"", ""p20"", 76.0], [""D"", ""p38"", 41.0], [""F"", ""p01"", 86.0], [""F"", ""p21"", 43.0], [""F"", ""p26"", 29.0], [""F"", ""p27"", 71.0], [""F"", ""p31"", 69.0], [""F"", ""p33"", 45.0], [""F"", ""p34"", 46.0], [""S"", ""p02"", 58.0], [""S"", ""p09"", 18.0], [""S"", ""p11"", 22.0], [""S"", ""p14"", 78.0], [""S"", ""p15"", 40.0], [""S"", ""p28"", 32.0], [""S"", ""p30"", 17.0]]";21;"[[""D"", ""p03"", 0.875], [""D"", ""p04"", 0.875], [""D"", ""p05"", 0.875], [""D"", ""p06"", 0.875], [""D"", ""p07"", 0.875], [""D"", ""p20"", 0.875], [""D"", ""p38"", 0.875], [""F"", ""p01"", 0.875], [""F"", ""p21"", 0.75], [""F"", ""p26"", 0.75], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.875], [""F"", ""p33"", 0.75], [""F"", ""p34"", 0.875], [""S"", ""p02"", 0.875], [""S"", ""p09"", 0.75], [""S"", ""p11"", 0.625], [""S"", ""p14"", 0.625], [""S"", ""p15"", 0.75], [""S"", ""p28"", 0.875], [""S"", ""p30"", 0.875]]"
17;21;21;1;3;1413;67.28571428571429;18.142857142857142;0.8639455782312925;21;"[[""D"", ""p03"", 63.0], [""D"", ""p04"", 41.0], [""D"", ""p05"", 63.0], [""D"", ""p06"", 48.0], [""D"", ""p07"", 70.0], [""D"", ""p20"", 37.0], [""D"", ""p38"", 95.0], [""F"", ""p01"", 100.0], [""F"", ""p21"", 69.0], [""F"", ""p26"", 24.0], [""F"", ""p27"", 28.0], [""F"", ""p31"", 245.0], [""F"", ""p33"", 46.0], [""F"", ""p34"", 34.0], [""S"", ""p02"", 22.0], [""S"", ""p09"", 92.0], [""S"", ""p11"", 39.0], [""S"", ""p14"", 162.0], [""S"", ""p15"", 94.0], [""S"", ""p28"", 28.0], [""S"", ""p30"", 13.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 0.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 0.8571428571428571], [""F"", ""p01"", 1.0], [""F"", ""p21"", 0.4285714285714285], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.8571428571428571], [""F"", ""p33"", 0.8571428571428571], [""F"", ""p34"", 1.0], [""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 0.5714285714285714], [""S"", ""p15"", 0.8571428571428571], [""S"", ""p28"", 0.7142857142857143], [""S"", ""p30"", 1.0]]"
2;21;21;1;3;387;18.428571428571427;20.75;0.9880952380952381;21;"[[""D"", ""p03"", 19.0], [""D"", ""p04"", 22.0], [""D"", ""p05"", 33.0], [""D"", ""p06"", 31.0], [""D"", ""p07"", 21.0], [""D"", ""p20"", 14.0], [""D"", ""p38"", 18.0], [""F"", ""p01"", 26.0], [""F"", ""p21"", 27.0], [""F"", ""p26"", 14.0], [""F"", ""p27"", 15.0], [""F"", ""p31"", 16.0], [""F"", ""p33"", 18.0], [""F"", ""p34"", 15.0], [""S"", ""p02"", 18.0], [""S"", ""p09"", 25.0], [""S"", ""p11"", 8.0], [""S"", ""p14"", 9.0], [""S"", ""p15"", 8.0], [""S"", ""p28"", 16.0], [""S"", ""p30"", 14.0]]";21;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 0.75], [""D"", ""p38"", 1.0], [""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0], [""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
