task_id;group;row_count;participant_count;task_count;group_count;TTU_total;TTU_average;DOU_total;DOU_average;TTU_count;TTU_participant_totals;DOU_count;DOU_participant_totals
1;Dynamic sketch construction;7;7;1;1;224;32.0;7.0;1.0;7;"[[""D"", ""p03"", 28.0], [""D"", ""p04"", 26.0], [""D"", ""p05"", 32.0], [""D"", ""p06"", 64.0], [""D"", ""p07"", 24.0], [""D"", ""p20"", 24.0], [""D"", ""p38"", 26.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
1;Formula construction;7;7;1;1;228;32.57142857142857;6.2;0.8857142857142858;7;"[[""F"", ""p01"", 17.0], [""F"", ""p21"", 33.0], [""F"", ""p26"", 92.0], [""F"", ""p27"", 21.0], [""F"", ""p31"", 23.0], [""F"", ""p33"", 28.0], [""F"", ""p34"", 14.0]]";7;"[[""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 0.6], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.6], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
1;Static sketch construction;7;7;1;1;180;25.714285714285715;7.0;1.0;7;"[[""S"", ""p02"", 31.0], [""S"", ""p09"", 14.0], [""S"", ""p11"", 10.0], [""S"", ""p14"", 13.0], [""S"", ""p15"", 60.0], [""S"", ""p28"", 28.0], [""S"", ""p30"", 24.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
10;Dynamic sketch construction;7;7;1;1;279;39.857142857142854;6.625;0.9464285714285714;7;"[[""D"", ""p03"", 40.0], [""D"", ""p04"", 40.0], [""D"", ""p05"", 40.0], [""D"", ""p06"", 33.0], [""D"", ""p07"", 61.0], [""D"", ""p20"", 22.0], [""D"", ""p38"", 43.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 0.875], [""D"", ""p05"", 0.875], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 0.875], [""D"", ""p38"", 1.0]]"
10;Formula construction;7;7;1;1;418;59.714285714285715;5.875;0.8392857142857143;7;"[[""F"", ""p01"", 76.0], [""F"", ""p21"", 64.0], [""F"", ""p26"", 25.0], [""F"", ""p27"", 32.0], [""F"", ""p31"", 165.0], [""F"", ""p33"", 17.0], [""F"", ""p34"", 39.0]]";7;"[[""F"", ""p01"", 0.5], [""F"", ""p21"", 0.875], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.625], [""F"", ""p33"", 0.875], [""F"", ""p34"", 1.0]]"
10;Static sketch construction;7;7;1;1;433;61.857142857142854;5.75;0.8214285714285714;7;"[[""S"", ""p02"", 88.0], [""S"", ""p09"", 26.0], [""S"", ""p11"", 29.0], [""S"", ""p14"", 122.0], [""S"", ""p15"", 125.0], [""S"", ""p28"", 30.0], [""S"", ""p30"", 13.0]]";7;"[[""S"", ""p02"", 0.375], [""S"", ""p09"", 0.875], [""S"", ""p11"", 1.0], [""S"", ""p14"", 0.75], [""S"", ""p15"", 0.875], [""S"", ""p28"", 0.875], [""S"", ""p30"", 1.0]]"
11;Dynamic sketch construction;7;7;1;1;232;33.142857142857146;7.0;1.0;7;"[[""D"", ""p03"", 27.0], [""D"", ""p04"", 32.0], [""D"", ""p05"", 45.0], [""D"", ""p06"", 37.0], [""D"", ""p07"", 36.0], [""D"", ""p20"", 21.0], [""D"", ""p38"", 34.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
11;Formula construction;7;7;1;1;246;35.142857142857146;7.0;1.0;7;"[[""F"", ""p01"", 26.0], [""F"", ""p21"", 25.0], [""F"", ""p26"", 16.0], [""F"", ""p27"", 110.0], [""F"", ""p31"", 32.0], [""F"", ""p33"", 9.0], [""F"", ""p34"", 28.0]]";7;"[[""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
11;Static sketch construction;7;7;1;1;229;32.714285714285715;7.0;1.0;7;"[[""S"", ""p02"", 38.0], [""S"", ""p09"", 29.0], [""S"", ""p11"", 26.0], [""S"", ""p14"", 53.0], [""S"", ""p15"", 45.0], [""S"", ""p28"", 26.0], [""S"", ""p30"", 12.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
12;Dynamic sketch construction;7;7;1;1;334;47.714285714285715;7.0;1.0;7;"[[""D"", ""p03"", 27.0], [""D"", ""p04"", 45.0], [""D"", ""p05"", 60.0], [""D"", ""p06"", 68.0], [""D"", ""p07"", 55.0], [""D"", ""p20"", 28.0], [""D"", ""p38"", 51.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
