task_id,TTU_chi2,TTU_df,TTU_p,TTU_eps2,TTU_sig,DOU_chi2,DOU_df,DOU_p,DOU_eps2,DOU_sig
1,1.4472455648926326,2,0.4849920487803716,-0.03070857972818708,False,4.210526315789484,2,0.12181361383661922,0.12280701754386023,False
2,5.361113706437453,2,0.06852498516944841,0.18672853924652516,False,2.000000000000057,2,0.3678794411714319,3.157967714489334e-15,False
3,4.041857423152385,2,0.13253232360436445,0.11343652350846585,False,2.000000000000057,2,0.3678794411714319,3.157967714489334e-15,False
4,3.836307577314788,2,0.14687787957521822,0.10201708762859935,False,,2,,,False
5,3.393669358581642,2,0.1832626921374415,0.0774260754767579,False,0.7777777777777998,2,0.6778095780054428,-0.06790123456790001,False
6,1.629203046628271,2,0.442815743960168,-0.020599830742873835,False,5.000000000000002,2,0.08208499862389873,0.16666666666666677,False
7,1.759955444165975,2,0.4147921522837963,-0.013335808657445831,False,4.0555029959003575,2,0.131631161586518,0.1141946108833532,False
8,0.07240323029797006,2,0.9644458269909896,-0.10708870942789056,False,6.929152148664342,2,0.03128626566652193,0.2738417860369079,True
9,0.5703139513282579,2,0.7518962156472183,-0.07942700270398567,False,1.3439153439153515,2,0.5107078001700671,-0.03644914756025825,False
10,0.007440476190473204,2,0.9962866734170258,-0.11069775132275149,False,1.9011976047904215,2,0.3865095113252568,-0.005489021956087692,False
11,1.7899050102439844,2,0.4086270058697674,-0.0116719438753342,False,,2,,,False
12,4.660969719487264,2,0.09724858373327284,0.14783165108262578,False,,2,,,False
13,1.8131153631803805,2,0.4039122281859421,-0.010382479823312196,False,1.0526315789473986,2,0.590777513901223,-0.052631578947366746,False
14,4.673801768264304,2,0.09662663181121321,0.1485445426813502,False,4.593528018942383,2,0.10058380589520234,0.1440848899412435,False
15,2.0416124837451326,2,0.3603043305998205,0.0023118046525073665,False,13.60402607800527,2,0.001111535330208528,0.6446681154447372,True
16,5.1280148423005585,2,0.0769955676978912,0.17377860235003104,False,4.581323438466295,2,0.10119947405440392,0.14340685769257192,False
17,0.5071521456436994,2,0.7760207085945185,-0.08293599190868337,False,0.22788532222494254,2,0.8923091184277749,-0.09845081543194764,False
